"Date","Price","Open","High","Low","Change %"
"06/22/2017","0.200","0.200","0.200","0.200","9.89%"
"06/21/2017","0.182","0.182","0.182","0.182","-0.55%"
"06/20/2017","0.183","0.183","0.183","0.183","-1.61%"
"06/19/2017","0.186","0.186","0.186","0.186","0.00%"
"06/16/2017","0.186","0.186","0.186","0.186","8.77%"
"06/15/2017","0.171","0.171","0.171","0.171","-0.58%"
"06/14/2017","0.172","0.172","0.172","0.172","0.00%"
"06/13/2017","0.172","0.172","0.172","0.172","1.78%"
"06/12/2017","0.169","0.169","0.169","0.169","0.60%"
"06/09/2017","0.168","0.168","0.168","0.168","-1.75%"
"06/08/2017","0.171","0.171","0.171","0.171","-0.58%"
"06/07/2017","0.172","0.172","0.172","0.172","0.00%"
"06/06/2017","0.172","0.172","0.172","0.172","-2.82%"
"06/05/2017","0.177","0.177","0.177","0.177","0.00%"
"06/02/2017","0.177","0.177","0.177","0.177","-2.21%"
"06/01/2017","0.181","0.181","0.181","0.181","-0.55%"
"05/31/2017","0.182","0.182","0.182","0.182","4.00%"
"05/30/2017","0.175","0.175","0.175","0.175","0.00%"
"05/26/2017","0.175","0.175","0.175","0.175","2.34%"
"05/25/2017","0.171","0.171","0.171","0.171","-5.52%"
"05/24/2017","0.181","0.181","0.181","0.181","-0.55%"
"05/23/2017","0.182","0.182","0.182","0.182","3.41%"
"05/22/2017","0.176","0.176","0.176","0.176","0.00%"
"05/19/2017","0.176","0.176","0.176","0.176","-2.22%"
"05/18/2017","0.180","0.180","0.180","0.180","-0.55%"
"05/17/2017","0.181","0.181","0.181","0.181","5.23%"
"05/16/2017","0.172","0.172","0.172","0.172","-2.27%"
"05/15/2017","0.176","0.176","0.176","0.176","0.00%"
"05/12/2017","0.176","0.176","0.176","0.176","-2.22%"
"05/11/2017","0.180","0.180","0.180","0.180","-0.55%"
"05/10/2017","0.181","0.181","0.181","0.181","-0.55%"
"05/09/2017","0.182","0.182","0.182","0.182","7.69%"
"05/08/2017","0.169","0.169","0.169","0.169","-3.98%"
"05/07/2017","0.176","0.176","0.176","0.176","0.00%"
"05/05/2017","0.176","0.176","0.176","0.176","2.92%"
"05/04/2017","0.171","0.171","0.171","0.171","-0.58%"
"05/03/2017","0.172","0.172","0.172","0.172","2.38%"
"05/02/2017","0.168","0.168","0.168","0.168","1.82%"
"04/28/2017","0.165","0.165","0.165","0.165","-4.07%"
"04/27/2017","0.172","0.172","0.172","0.172","0.00%"
"04/26/2017","0.172","0.172","0.172","0.172","-0.58%"
"04/25/2017","0.173","0.173","0.173","0.173","2.37%"
"04/24/2017","0.169","0.169","0.169","0.169","0.00%"
"04/22/2017","0.169","0.169","0.169","0.169","0.00%"
"04/21/2017","0.169","0.169","0.169","0.169","-1.74%"
"04/20/2017","0.172","0.172","0.172","0.172","0.00%"
"04/19/2017","0.172","0.172","0.172","0.172","1.78%"
"04/18/2017","0.169","0.169","0.169","0.169","1.20%"
"04/17/2017","0.167","0.167","0.167","0.167","0.00%"
"04/13/2017","0.167","0.167","0.167","0.167","-2.91%"
"04/12/2017","0.172","0.172","0.172","0.172","-0.58%"
"04/11/2017","0.173","0.173","0.173","0.173","5.49%"
"04/10/2017","0.164","0.164","0.164","0.164","-15.03%"
"04/07/2017","0.193","0.193","0.193","0.193","15.57%"
"04/06/2017","0.167","0.167","0.167","0.167","-0.60%"
"04/05/2017","0.168","0.168","0.168","0.168","-26.32%"
"04/04/2017","0.228","0.228","0.228","0.228","45.22%"
"04/03/2017","0.157","0.157","0.157","0.157","-27.65%"
"03/31/2017","0.217","0.217","0.217","0.217","-0.91%"
"03/30/2017","0.219","0.219","0.219","0.219","-0.45%"
"03/29/2017","0.220","0.220","0.220","0.220","-0.90%"
"03/28/2017","0.222","0.222","0.222","0.222","2.78%"
"03/27/2017","0.216","0.216","0.216","0.216","0.00%"
"03/26/2017","0.216","0.216","0.216","0.216","0.00%"
"03/24/2017","0.216","0.216","0.216","0.216","-1.37%"
"03/23/2017","0.219","0.219","0.219","0.219","-0.45%"
"03/22/2017","0.220","0.220","0.220","0.220","-0.90%"
"03/21/2017","0.222","0.222","0.222","0.222","3.74%"
"03/20/2017","0.214","0.214","0.214","0.214","-0.93%"
"03/18/2017","0.216","0.216","0.216","0.216","0.00%"
"03/17/2017","0.216","0.216","0.216","0.216","2.86%"
"03/16/2017","0.210","0.210","0.210","0.210","-0.47%"
"03/15/2017","0.211","0.211","0.211","0.211","-0.47%"
"03/14/2017","0.212","0.212","0.212","0.212","2.91%"
"03/13/2017","0.206","0.206","0.206","0.206","-0.48%"
"03/10/2017","0.207","0.207","0.207","0.207","-1.43%"
"03/09/2017","0.210","0.210","0.210","0.210","-0.47%"
"03/08/2017","0.211","0.211","0.211","0.211","-0.47%"
"03/07/2017","0.212","0.212","0.212","0.212","2.42%"
"03/06/2017","0.207","0.207","0.207","0.207","-0.48%"
"03/03/2017","0.208","0.208","0.208","0.208","-1.42%"
"03/02/2017","0.211","0.211","0.211","0.211","-0.47%"
"03/01/2017","0.212","0.215","0.215","0.215","-0.47%"
"02/28/2017","0.213","0.213","0.213","0.213","1.91%"
"02/27/2017","0.209","0.209","0.209","0.209","-0.48%"
"02/24/2017","0.210","0.210","0.210","0.210","-1.41%"
"02/23/2017","0.213","0.213","0.213","0.213","-0.47%"
"02/22/2017","0.214","0.214","0.214","0.214","-0.47%"
"02/21/2017","0.215","0.215","0.215","0.215","2.87%"
"02/20/2017","0.209","0.209","0.209","0.209","-0.48%"
"02/17/2017","0.210","0.210","0.210","0.210","-1.41%"
